Modulus,Max Strain,Yield Stress,Max Stress,Max Temperature,Max Pressure,Max TotEnergy,Max Potential Energy,Max PressureX,Max PressureY,Max PressureZ,CRSS,Modulus,Max Strain,Yield Stress,Max Stress,Max Temperature,Max Pressure,Max TotEnergy,Max Potential Energy,Max PressureX,Max PressureY,Max PressureZ,CRSS,Modulus,Max Strain,Yield Stress,Max Stress,Max Temperature,Max Pressure,Max TotEnergy,Max Potential Energy,Max PressureX,Max PressureY,Max PressureZ,CRSS,Modulus,Max Strain,Yield Stress,Max Stress,Max Temperature,Max Pressure,Max TotEnergy,Max Potential Energy,Max PressureX,Max PressureY,Max PressureZ,CRSS,Modulus,Max Strain,Yield Stress,Max Stress,Max Temperature,Max Pressure,Max TotEnergy,Max Potential Energy,Max PressureX,Max PressureY,Max PressureZ,CRSS
D0,D0,D0,D0,D0,D0,D0,D0,D0,D0,D0,D0,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D1,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D2,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D2,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
112.0195623,0.04995,3.6,3.769340244,311.1697983,447.2780088,-221.9737093,-224.3867007,1025.756984,1018.726322,202.4437712,1.998898039,128.3615848,0.04995,3.8,3.846432194,305.8823011,330.2576536,-520.6828436,-526.1455138,737.6661073,767.7890102,22.34903525,2.10994793,126.0073853,0.04995,3.3,3.360002,305.471827,295.9548023,-945.0958394,-954.927543,806.2005514,742.8679818,122.9003839,1.832323202,126.5645263,0.04995,3.5,3.578558502,304.0811926,254.9741107,-1472.848207,-1488.151203,659.4049149,651.684534,402.0409458,1.943373093,113.0134,0.04995,3.1,3.148528733,306.1621438,285.2002693,-2153.635254,-2175.953764,654.9132778,682.3591363,360.8677968,1.721273311
