,Stress (GPa),Strain
0,0.17556228983721606,0.0
1,0.11342629019482303,6.75e-07
2,0.05680392707695112,1.35e-06
3,-0.0014624429410828078,2.0249999999999997e-06
4,-0.04328556085863449,2.7e-06
5,-0.050649723737473715,3.375e-06
6,-0.044286327140796326,4.049999999999999e-06
7,-0.053694039488935495,4.725e-06
8,-0.09121284380155548,5.4e-06
9,-0.12466466636038241,6.075e-06
10,-0.12343280710085114,6.75e-06
11,-0.1140542519382864,7.425e-06
12,-0.11133346635514185,8.099999999999999e-06
13,-0.11838288441852254,8.775e-06
14,-0.11668642004911742,9.45e-06
15,-0.08231557318690064,1.0124999999999999e-05
16,-0.0037202786257616726,1.08e-05
17,0.08061070543650027,1.1475e-05
18,0.13485860412739553,1.215e-05
19,0.1588205903874479,1.2825e-05
20,0.17579083633549603,1.35e-05
21,0.18477583315478316,1.4175e-05
22,0.17349964177474508,1.485e-05
23,0.1531532738498772,1.5525e-05
24,0.14175637936099827,1.6199999999999997e-05
25,0.14812041257744807,1.6874999999999997e-05
26,0.17778256495532527,1.755e-05
27,0.23531847744654463,1.8225e-05
28,0.29885007495392185,1.89e-05
29,0.3273535793460901,1.9574999999999998e-05
30,0.31364651902724366,2.0249999999999998e-05
31,0.294957908989621,2.0925e-05
32,0.28828906222616163,2.16e-05
33,0.28086531173662876,2.2275e-05
34,0.2727239634396832,2.295e-05
35,0.2700502877196938,2.3624999999999998e-05
36,0.2627623918895843,2.43e-05
37,0.23790684611703675,2.4974999999999997e-05
38,0.1909772736813702,2.565e-05
39,0.12716288967110728,2.6324999999999996e-05
40,0.06044806597793765,2.7e-05
41,-3.3995495844428846e-05,2.7675e-05
42,-0.05197414751190724,2.835e-05
43,-0.09510628300540115,2.9024999999999997e-05
44,-0.10991736933348739,2.97e-05
45,-0.10021108231210783,3.0375e-05
46,-0.07408407953018782,3.105e-05
47,-0.0277011088310761,3.1725e-05
48,0.021273795609252997,3.2399999999999995e-05
49,0.05591622446636178,3.3075e-05
50,0.08711135725610011,3.3749999999999994e-05
51,0.11833195483673313,3.4424999999999997e-05
52,0.11276751605437706,3.51e-05
53,0.07049596316916965,3.5775e-05
54,0.035331506098719455,3.645e-05
55,0.0550839077759684,3.7125e-05
56,0.10364640992775777,3.78e-05
57,0.12458241508579254,3.8475e-05
58,0.11154342355606865,3.9149999999999996e-05
59,0.10501959877675465,3.9825e-05
60,0.1360806594424324,4.0499999999999995e-05
61,0.1980067018838986,4.1175e-05
62,0.25047970464943303,4.185e-05
63,0.2609759094843663,4.2525000000000004e-05
64,0.2380097238722513,4.32e-05
65,0.2225397360797646,4.3874999999999996e-05
66,0.23995192347379038,4.455e-05
67,0.26580123271100364,4.5224999999999995e-05
68,0.260196050263216,4.59e-05
